"devicedb_id","hubelean_id","location_name","location_address","longitude","latitude","TotalNbOfConnectors","ConnectorType"
"10429","UAE-HBN-CCL284","BUR DUBAI-One Central, C2 Bldg, Basement 3, Level B3","Trade Center, Dubai, United Arab Emirates","55.285","25.221","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10430","UAE-HBN-CCL291","BUR DUBAI-Al Barsha South 1 Mall-1  (Left side)","Al Barsha South 1, Dubai, United Arab Emirates","55.241288","25.08572","1","62196-2 (Three Phase)"
"10431","UAE-HBN-CCL292","BUR DUBAI-Al Barsha South 1 Mall-2  (Right side)","Al Barsha South 1, Dubai, United Arab Emirates","55.2411944","25.0856944","1","62196-2 (Three Phase)"
"10432","UAE-HBN-CCL280","J.ALI-Expo 2020 Opportunity Parking-01","Dubai, United Arab Emirates","55.159","24.966","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10433","UAE-HBN-CCL279","J.ALI-Expo 2020 Opportunity Parking-05","Dubai, United Arab Emirates","55.159","24.966","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10434","UAE-HBN-ECC1","BUR DUBAI-Main Office Customer Service Center 01","DEWA, Dubai, United Arab Emirates","55.324","25.227","2","Combo CCS , ChaDeMo"
"10435","UAE-HBN-CCL295","DEIRA-ENOC Petrol Station (1038) Tripoli Street","ENOC, Dubai, United Arab Emirates","55.482","25.188","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"10437","UAE-HBN-CCL301","J.ALI-Expo 2020 Sustainability Parking-02","Dubai, United Arab Emirates","55.156","24.955","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10438","UAE-HBN-CCL306","J.ALI-Expo 2020 Opportunity Parking-03","Dubai, United Arab Emirates","55.159","24.966","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10439","UAE-HBN-CCL307","J.ALI-Expo 2020 Opportunity Parking-04","Dubai, United Arab Emirates","55.159","24.966","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10440","UAE-HBN-CCL303","J.ALI-Expo 2020 Sustainability Parking-04","Dubai, United Arab Emirates","55.156","24.954","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10441","UAE-HBN-CCL304","J.ALI-Expo 2020 Sustainability Parking-05","Dubai, United Arab Emirates","55.156","24.954","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10442","UAE-HBN-CCL305","J.ALI-Expo 2020 Opportunity Parking-02","Dubai, United Arab Emirates","55.159","24.966","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10443","UAE-HBN-CCL286","DEIRA-Dubai Digital Park-F building Parking","DSO, Dubai, United Arab Emirates","55.377","25.119","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10444","UAE-HBN-CCL287","DEIRA-Dubai Digital Park-A1 building Parking","DSO, Dubai, United Arab Emirates","55.377","25.119","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10445","UAE-HBN-CCL288","DEIRA-Dubai Digital Park-D1 building Parking","DSO, Dubai, United Arab Emirates","55.376661","25.119246","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10446","UAE-HBN-CCL289","DEIRA-Dubai Digital Park-C building Parking","DSO, Dubai, United Arab Emirates","55.3778333","25.1199722","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10447","UAE-HBN-CCL290","DEIRA-Dubai Digital Park-A5 building Parking","DSO, Dubai, United Arab Emirates","55.377841","25.119976","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10448","UAE-HBN-CCL283","Diera-Sh: Mohammed Bin Rashid Housing Project Building-B09","Muhaisinah, Dubai, United Arab Emirates","55.409","25.275","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10449","UAE-HBN-CCL308","DEIRA-Dubai Civil Defense Head Quarters-01","Ghusais, Dubai, United Arab Emirates","55.389","25.264","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10450","UAE-HBN-CCL309","DEIRA-Dubai Civil Defense Head Quarters-02","Ghusais, Dubai, United Arab Emirates","55.389","25.263","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10451","UAE-HBN-CCL310","DEIRA-Dubai Civil Defense Workshop","Ghusais, Dubai, United Arab Emirates","55.391","25.265","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10452","UAE-HBN-CCL311","DEIRA-Dubai Civil Defense Fire Station","Hamariya Deira, Dubai, United Arab Emirates","55.335","25.298","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10453","UAE-HBN-CCL312","BUR DUBAI-Dubai Civil Defense Fire Station","Manara, Dubai, United Arab Emirates","55.22132","25.147704","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10454","UAE-HBN-CCL317","BUR DUBAI-General Directorate- Residency & Foriegn Affairs","Jafilia, Dubai, United Arab Emirates","55.291","25.235","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10455","UAE-HBN-CCL296","BUR DUBAI-ENOC Petrol Station (1604)","Nad Al Sheba, Dubai, United Arab Emirates","55.335","25.154","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"10461","UAE-HBN-CCL297","J.ALI-ENOC Petrol Station (1008)","Hessayan, Dubai, United Arab Emirates","55.0","24.927","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"10462","UAE-HBN-CCL320","DEIRA-ENOC Petrol Station (1602)","Al Awir, Dubai, United Arab Emirates","55.555","25.209","3","ChaDeMo , Combo CCS , 62196-2 (Three Phase)"
"10463","UAE-HBN-CCL285","BUR DUBAI-Dubai Police, Al Raffa Police Station","Dubai, United Arab Emirates","55.290245","25.262613","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
